4.16,16,0,0,9,0,0,0,218,1,-2,3,3,3,2,275
4.16,16,0,4,14,-14,-33,-49,248,-1,-15,3,3,3,2,275
4.16,16,-1,2,9,-18,-17,-7,25,-6,-7,3,3,3,2,275
4.16,16,0,1,9,-7,-5,-29,37,-2,-9,3,3,3,2,275
4.16,16,-1,0,8,10,0,-1,41,-4,0,3,3,3,2,275
4.16,16,0,1,10,34,0,-9,46,0,-4,3,3,3,2,275
4.16,16,1,0,9,-8,-3,-34,44,-1,-6,3,3,3,2,275
4.16,16,0,1,9,8,18,-40,53,-8,-2,3,3,3,2,275
4.16,16,-2,3,10,-28,-13,108,61,-21,-19,3,3,3,3,275
4.16,17,-5,6,4,-7,1,16,92,-27,-50,3,3,3,3,275
4.16,16,-5,8,4,-86,-6,-70,119,-24,-47,3,3,3,3,275
4.16,17,-4,7,5,31,58,-18,91,-11,-44,3,3,3,3,275
4.16,17,-3,5,5,-55,19,76,91,-17,-53,3,3,3,3,276
4.16,17,-4,9,3,-26,58,39,111,-27,-64,3,3,3,3,276
4.16,17,-4,10,3,25,-23,-23,102,-30,-61,3,3,3,3,276
4.16,17,-4,8,3,5,-11,-3,85,-25,-66,3,3,3,3,276
4.16,17,-4,8,4,-10,-14,19,108,-25,-60,3,3,3,3,276
4.16,17,-3,12,4,69,-20,12,98,-30,-51,3,3,3,3,276
4.16,17,-3,6,3,-20,-34,-18,82,-19,-52,3,3,3,3,276
4.16,17,-4,8,2,-14,-34,-53,98,-22,-69,3,3,3,3,276
4.16,17,-4,8,2,-3,21,-1,191,-30,-66,3,3,3,3,276
4.16,17,-3,8,2,-15,30,14,165,-28,-70,3,3,3,3,276
4.16,17,-4,9,3,28,-22,16,234,-26,-62,3,3,3,3,276
4.16,17,-5,9,2,38,-96,-33,289,-26,-66,3,3,3,3,276
4.16,17,-4,8,2,-20,18,3,266,-24,-75,3,3,3,3,277
4.16,17,-4,8,2,4,-5,-3,249,-25,-73,3,3,3,3,277
4.16,17,-3,7,4,78,-47,-8,298,-26,-66,3,3,3,3,277
4.16,17,-3,7,5,-8,-17,-19,296,-22,-54,3,3,3,3,277
4.16,17,-5,4,6,-16,16,-41,305,-47,-47,2,3,3,3,277
4.16,17,-1,0,7,-21,-17,41,53,10,-31,2,3,3,3,277
4.16,17,-2,0,10,-4,-19,76,143,-9,-6,3,3,3,3,277
4.16,17,-2,0,9,15,0,-4,203,-10,-1,3,3,3,3,277
4.16,17,-2,0,8,0,24,227,244,-7,31,3,3,3,3,277
4.16,17,-1,0,10,-13,10,112,107,-19,-11,1,3,3,3,277
4.16,17,-2,0,9,3,-11,-124,63,-14,6,3,3,3,3,277
4.16,17,-2,0,9,-8,-5,28,287,-9,1,0,3,3,3,277
4.16,17,-2,0,9,13,8,17,135,-14,-1,2,3,3,3,278
