4.02,-13,-3,1,10,-39,99,194,330,3,4,0,3,3,3,366
4.02,-13,1,0,14,68,47,-237,260,-51,-14,0,3,3,3,366
4.02,-13,-7,7,7,101,-40,-490,242,-55,-40,0,3,3,3,366
4.02,-13,0,6,9,74,-11,-289,21,-3,24,0,3,3,3,366
4.02,-13,0,0,11,10,53,-131,87,1,44,0,3,3,3,366
4.02,-13,-4,2,12,65,22,135,76,-54,-5,3,3,3,3,366
4.02,-13,1,0,7,-15,1,-237,237,55,18,3,3,3,3,366
4.02,-13,-2,5,13,28,-98,11,26,-22,-67,0,3,3,3,366
4.02,-13,-1,0,7,92,45,-78,168,-23,63,1,3,3,3,366
4.02,-13,-3,2,14,66,-26,-221,110,-71,44,3,3,3,3,366
4.02,-13,-9,5,11,-6,-68,132,24,-25,-57,3,3,3,3,367
4.02,-13,-2,2,4,34,154,285,195,-31,77,0,3,3,3,367
4.02,-13,-3,5,8,14,-98,-216,85,-30,-46,1,3,3,3,367
4.02,-13,-11,3,13,-57,64,113,284,8,-3,0,3,3,3,367
4.02,-13,-1,-1,12,27,9,301,47,-24,-10,0,3,3,3,367
4.02,-13,2,0,8,-15,34,71,304,10,14,0,3,3,3,367
4.02,-13,0,-1,18,-75,39,-134,48,10,37,2,3,3,3,367
4.02,-13,-3,0,10,88,38,48,304,-51,-2,1,3,3,3,367
4.02,-13,-1,4,18,70,12,-46,307,-20,-8,3,3,3,3,367
4.02,-13,2,0,11,-66,16,-297,32,-6,24,3,3,3,3,367
4.02,-13,0,5,11,-30,-133,-113,212,42,-36,2,3,3,3,367
4.02,-13,1,2,9,9,-15,79,65,-64,-30,0,3,3,3,367
4.02,-13,4,-4,12,21,46,66,122,-37,57,3,3,3,3,368
4.02,-13,3,0,12,-13,-57,-145,71,-39,-51,0,3,3,3,368
4.02,-13,-3,2,13,-37,-56,-340,8,2,-58,2,3,3,3,368
4.02,-13,3,1,9,-33,-16,-89,43,-5,-57,2,3,3,3,368
4.02,-13,-3,2,11,43,22,-1,207,-10,30,2,3,3,3,368
4.02,-13,2,0,11,-3,-61,-267,97,-25,-33,1,3,3,3,368
4.02,-13,-5,-1,12,-38,-68,-329,95,40,-10,1,3,3,3,368
4.02,-13,0,0,12,-9,-35,-298,35,22,25,0,3,3,3,368
4.02,-13,-1,7,13,9,-2,232,193,41,-54,1,3,3,3,368
4.02,-13,0,0,11,19,-34,-95,326,-28,-64,3,3,3,3,368
4.02,-13,-1,3,10,23,1,61,18,-61,-116,0,3,3,3,368
4.02,-13,-4,5,11,64,-26,-168,11,-45,-116,3,3,3,3,368
4.02,-13,1,0,12,24,18,-197,70,-41,60,3,3,3,3,369
4.02,-12,-2,1,10,56,-1,253,88,-85,3,1,3,3,3,369
4.02,-13,-1,0,10,27,5,53,152,-37,80,1,3,3,3,369
4.02,-13,1,2,16,-72,-39,-292,310,39,-40,2,3,3,3,369
4.02,-12,1,0,11,35,-34,87,117,-22,-28,2,3,3,3,369
4.02,-12,0,0,10,0,-69,-35,103,-17,-35,1,3,3,3,369
4.02,-13,-2,0,13,83,-25,-250,186,-25,-5,3,3,3,3,369
4.02,-13,0,3,13,44,-77,-33,170,-27,-17,3,3,3,3,369
4.02,-12,-3,3,12,56,-36,262,201,1,-11,3,3,3,3,369
4.02,-13,1,0,10,-38,36,29,101,14,34,3,3,3,3,369
4.02,-12,0,3,12,-40,-35,-283,181,50,-11,3,3,3,3,369
4.02,-12,0,2,12,35,31,-95,52,-45,33,3,3,3,3,369
4.02,-13,1,0,8,7,-76,-64,349,1,-70,2,3,3,3,370
4.02,-13,-3,3,13,21,-18,-448,103,-32,29,3,3,3,3,370
4.02,-13,-2,3,11,-56,-18,-4,271,47,-9,2,3,3,3,370
4.02,-12,-5,3,13,17,-78,-289,30,-5,-76,2,3,3,3,370
4.02,-13,0,2,10,58,34,-49,147,-75,56,2,3,3,3,370
4.02,-12,-4,4,13,17,10,493,349,17,-76,0,3,3,3,370
4.02,-13,-2,3,10,-27,-84,-230,1,25,-86,3,3,3,3,370
4.02,-13,-4,3,13,43,-3,-109,244,-27,49,3,3,3,3,370
4.02,-12,-1,0,13,45,52,253,261,-18,32,3,3,3,3,370
4.02,-13,0,0,9,6,-21,36,145,-60,-8,3,3,3,3,370
4.02,-12,0,3,11,-41,-13,250,82,-27,-78,3,3,3,3,370
4.02,-13,-2,3,10,-22,-14,388,106,-35,-65,3,3,3,3,370
4.02,-12,-4,5,9,63,-11,-457,274,8,45,3,3,3,3,371
4.02,-13,-6,4,11,42,-90,-491,128,-53,-68,1,3,3,3,371
4.02,-13,-2,3,11,29,-3,101,235,-30,40,1,3,3,3,371
4.02,-12,-1,3,11,-3,-102,-238,166,-10,-24,0,3,3,3,371
4.02,-13,-3,1,12,51,-4,-459,342,-13,-30,3,3,3,3,371
4.02,-13,-2,3,12,37,-25,-266,235,16,4,3,3,3,3,371
4.02,-13,-2,5,10,46,-60,-86,214,6,11,2,3,3,3,371
4.02,-13,-2,3,11,-15,-36,132,220,-1,9,2,3,3,3,371
4.02,-13,-2,1,10,31,-13,24,288,-2,-38,3,3,3,3,371
4.02,-13,3,0,11,-76,-10,-46,168,28,42,0,3,3,3,371
4.02,-13,1,0,12,-15,-75,-201,173,42,24,1,3,3,3,371
4.02,-13,2,-3,10,-14,-50,97,194,67,27,0,3,3,3,371
4.02,-13,-1,2,11,13,-7,-293,57,-33,18,1,3,3,3,372
4.02,-13,0,0,11,8,-46,144,170,5,-24,3,3,3,3,372
4.02,-13,-2,4,10,-38,-73,-524,73,24,-9,3,3,3,3,372
4.02,-13,2,1,11,-61,-26,-201,83,11,8,3,3,3,3,372
4.02,-13,-7,5,15,-110,-76,-166,144,38,18,2,3,3,3,372
4.02,-13,0,4,10,-44,-44,13,194,67,-7,3,3,3,3,372
4.02,-13,-3,2,11,0,76,122,128,-7,62,3,3,3,3,372
4.02,-13,-6,4,10,-25,-110,-334,266,48,-86,2,3,3,3,372
4.02,-13,-1,3,10,27,-93,-225,271,19,-75,2,3,3,3,372
4.02,-13,3,-1,11,65,52,-68,78,-57,109,2,3,3,3,372
4.02,-13,0,8,12,-51,-139,-434,95,-39,-50,2,3,3,3,372
4.02,-13,-2,2,13,41,-44,-86,190,-7,18,3,3,3,3,372
4.02,-13,-1,0,12,66,6,52,226,7,-3,3,3,3,3,373
4.02,-13,0,0,11,-31,44,152,78,-39,43,3,3,3,3,373
4.02,-13,-1,2,9,11,-51,-190,319,-11,-90,3,3,3,3,373
4.02,-13,-2,2,11,60,-1,154,131,-54,123,3,3,3,3,373
4.02,-14,1,1,9,-30,18,-258,257,67,120,2,3,3,3,373
4.02,-13,2,-1,12,15,74,-228,281,67,86,3,3,3,3,373
4.02,-13,-5,3,11,53,-16,-233,304,46,-3,1,3,3,3,373
4.02,-13,-4,0,12,30,22,-65,277,44,27,3,3,3,3,373
4.02,-13,0,1,9,-26,-60,-87,135,-69,-129,3,3,3,3,373
4.02,-14,0,0,11,41,1,-157,174,-26,123,3,3,3,3,373
4.02,-14,1,2,10,-30,-25,-234,292,51,176,3,3,3,3,373
4.02,-14,0,0,13,-2,66,202,205,2,115,3,3,3,3,374
4.02,-14,-3,3,11,31,-27,254,125,-64,-143,3,3,3,3,374
4.02,-14,0,2,11,30,-16,32,120,-62,-128,3,3,3,3,374
4.02,-14,3,2,11,-52,-33,107,235,64,114,3,3,3,3,374
4.01,-14,-5,4,12,38,-64,20,335,11,-117,3,3,3,3,374
4.02,-14,-1,2,12,-34,-68,-351,90,-30,-97,3,3,3,3,374
4.02,-14,-3,1,10,-54,70,479,348,57,-94,3,3,3,3,374
4.02,-14,0,3,9,-62,21,158,25,31,-78,3,3,3,3,374
4.02,-14,0,0,10,-26,8,60,330,72,-68,3,3,3,3,374
4.02,-14,-2,3,10,33,16,-187,263,12,66,3,3,3,3,374
4.02,-14,1,-1,12,-52,13,-107,0,55,-99,3,3,3,3,374
4.02,-14,-3,1,12,34,4,245,141,-58,156,3,3,3,3,374
4.02,-14,-2,1,10,8,-20,183,325,15,-134,3,3,3,3,375
4.02,-15,-4,3,12,-4,-33,-132,306,35,-107,3,3,3,3,375
4.02,-15,-1,4,11,-55,-19,363,211,60,109,3,3,3,3,375
4.02,-15,-3,2,10,36,-15,-287,316,13,-46,3,3,3,3,375
4.02,-15,0,1,11,-46,18,224,48,2,-52,1,3,3,3,375
4.02,-15,-1,3,11,-26,-64,-92,173,1,24,3,3,3,3,375
4.02,-15,-2,1,9,-13,71,281,349,-6,-31,3,3,3,3,375
4.02,-15,1,0,12,-21,57,19,16,-3,-33,3,3,3,3,375
4.02,-15,2,-1,11,-16,13,-90,16,0,-24,3,3,3,3,375
4.02,-15,0,1,13,-33,33,99,260,51,48,3,3,3,3,375
4.01,-15,-2,3,12,-3,-41,-62,112,-76,-38,3,3,3,3,375
4.01,-15,-1,0,12,56,32,-1,98,-80,89,2,3,3,3,375
4.01,-15,0,1,11,48,-6,-161,57,-76,-7,3,3,3,3,376
4.01,-15,-2,2,10,24,1,-30,56,-72,11,1,3,3,3,376
4.01,-15,-2,1,11,42,-48,-457,243,-12,-10,2,3,3,3,376
4.01,-15,-3,4,10,16,-60,-311,157,-25,-5,3,3,3,3,376
4.01,-16,-1,2,11,49,-14,-7,173,-47,26,1,3,3,3,376
4.01,-16,-2,2,11,16,-21,187,329,-20,-73,2,3,3,3,376
4.01,-16,0,2,10,-52,-10,-148,185,60,-3,2,3,3,3,376
4.01,-16,-3,1,10,-7,17,232,280,-3,-22,1,3,3,3,376
4.01,-16,0,2,9,-36,20,269,294,37,-5,3,3,3,3,376
4.02,-16,-1,3,14,0,-34,212,84,-22,-28,2,3,3,3,376
4.01,-16,0,2,8,-36,-31,-185,9,14,-62,2,3,3,3,376
4.01,-16,-2,0,11,22,-23,-208,128,-41,53,3,3,3,3,376
4.01,-16,-3,2,11,29,15,298,292,-11,-49,3,3,3,3,377
4.01,-16,-1,2,11,58,16,-250,270,-27,9,3,3,3,3,377
4.01,-17,-1,0,10,28,38,299,235,-18,20,3,3,3,3,377
4.01,-17,-1,0,11,-15,29,127,256,32,21,2,3,3,3,377
4.01,-17,0,1,12,-22,6,-28,152,6,61,3,3,3,3,377
4.01,-17,0,1,13,-26,-43,-8,201,33,-20,3,3,3,3,377
4.01,-17,1,0,11,-47,15,-97,70,8,9,3,3,3,3,377
4.01,-17,-2,2,11,33,-3,-325,257,-2,23,2,3,3,3,377
4.01,-17,1,0,11,40,18,-72,119,-47,30,1,3,3,3,377
4.01,-17,0,1,11,-8,-18,117,278,24,-37,1,3,3,3,377
4.01,-17,-2,2,10,-23,-16,210,170,-3,-37,3,3,3,3,377
4.01,-17,-2,0,10,68,15,-145,287,-36,20,3,3,3,3,377
4.01,-17,-1,0,11,47,22,77,231,-31,27,3,3,3,3,378
4.01,-17,0,0,11,34,-32,-109,119,-31,-39,2,3,3,3,378
4.01,-18,1,0,12,-19,31,-185,286,38,39,1,3,3,3,378
4.01,-18,1,0,10,-7,-44,54,247,5,-20,2,3,3,3,378
4.01,-18,0,6,10,0,-74,-100,174,6,-41,3,3,3,3,378
4.01,-18,-2,2,10,12,-15,123,142,-18,-33,0,3,3,3,378
4.01,-18,0,0,12,-11,62,-19,255,8,31,3,3,3,3,378
4.01,-18,0,0,12,32,33,56,78,-22,8,3,3,3,3,378
4.01,-18,0,1,12,14,-20,24,263,-13,-17,3,3,3,3,378
4.01,-18,-2,1,11,49,-30,-209,198,-31,-16,0,3,3,3,378
4.01,-18,0,2,10,19,-8,-163,41,-12,-30,2,3,3,3,378
4.01,-18,-1,0,10,37,22,106,53,-49,0,3,3,3,3,378
4.01,-19,-2,0,9,-18,22,170,182,-11,6,2,3,3,3,379
4.01,-19,-4,3,9,9,-64,-326,288,0,-58,2,3,3,3,379
4.01,-19,0,1,10,-24,-4,-196,44,6,4,2,3,3,3,379
4.01,-19,-2,3,11,-22,-50,-254,15,11,-41,3,3,3,3,379
4.01,-19,0,0,9,-23,6,88,99,1,33,3,3,3,3,379
4.01,-19,-1,1,10,0,23,41,314,1,28,1,3,3,3,379
4.01,-19,-1,2,12,10,-60,-131,50,-5,-61,3,3,3,3,379
4.01,-19,1,0,12,-4,-48,-113,12,5,-39,2,3,3,3,379
4.01,-19,0,1,10,-29,-23,-41,216,12,-16,3,3,3,3,379
4.01,-19,0,1,10,0,-51,-18,209,-31,-34,3,3,3,3,379
4.01,-19,-1,2,11,28,-35,58,204,-34,-17,2,3,3,3,379
4.00,-19,-1,2,12,-28,-10,-256,321,32,24,0,3,3,3,379
